location,week_day,date_all,date_day,date_month,date_year,date_hour,date_minut,video_original_file_name,mapping_key,video_file_name
egmont,friday,04-02-2022 07:44,4,2,2022,7,44,FILE0009,EGMONT_04-02-2022/FILE0009.MP4,egmont_04-02-2022_07.44_FILE0009.MP4
egmont,friday,04-02-2022 07:52,4,2,2022,7,52,FILE0010,EGMONT_04-02-2022/FILE0010.MP4,egmont_04-02-2022_07.52_FILE0010.MP4
egmont,friday,04-02-2022 08:00,4,2,2022,8,0,FILE0011,EGMONT_04-02-2022/FILE0011.MP4,egmont_04-02-2022_08.00_FILE0011.MP4
egmont,friday,04-02-2022 08:08,4,2,2022,8,8,FILE0012,EGMONT_04-02-2022/FILE0012.MP4,egmont_04-02-2022_08.08_FILE0012.MP4
egmont,friday,04-02-2022 08:16,4,2,2022,8,16,FILE0013,EGMONT_04-02-2022/FILE0013.MP4,egmont_04-02-2022_08.16_FILE0013.MP4
egmont,friday,04-02-2022 08:24,4,2,2022,8,24,FILE0014,EGMONT_04-02-2022/FILE0014.MP4,egmont_04-02-2022_08.24_FILE0014.MP4
egmont,friday,04-02-2022 08:32,4,2,2022,8,32,FILE0015,EGMONT_04-02-2022/FILE0015.MP4,egmont_04-02-2022_08.32_FILE0015.MP4
egmont,friday,04-02-2022 08:40,4,2,2022,8,40,FILE0016,EGMONT_04-02-2022/FILE0016.MP4,egmont_04-02-2022_08.40_FILE0016.MP4
egmont,friday,04-02-2022 08:48,4,2,2022,8,48,FILE0017,EGMONT_04-02-2022/FILE0017.MP4,egmont_04-02-2022_08.48_FILE0017.MP4
egmont,friday,04-02-2022 08:56,4,2,2022,8,56,FILE0018,EGMONT_04-02-2022/FILE0018.MP4,egmont_04-02-2022_08.56_FILE0018.MP4
egmont,friday,04-02-2022 09:04,4,2,2022,9,4,FILE0019,EGMONT_04-02-2022/FILE0019.MP4,egmont_04-02-2022_09.04_FILE0019.MP4
egmont,friday,04-02-2022 09:12,4,2,2022,9,12,FILE0020,EGMONT_04-02-2022/FILE0020.MP4,egmont_04-02-2022_09.12_FILE0020.MP4
egmont,friday,04-02-2022 09:20,4,2,2022,9,20,FILE0021,EGMONT_04-02-2022/FILE0021.MP4,egmont_04-02-2022_09.20_FILE0021.MP4
egmont,friday,04-02-2022 09:28,4,2,2022,9,28,FILE0022,EGMONT_04-02-2022/FILE0022.MP4,egmont_04-02-2022_09.28_FILE0022.MP4
egmont,friday,04-02-2022 09:36,4,2,2022,9,36,FILE0023,EGMONT_04-02-2022/FILE0023.MP4,egmont_04-02-2022_09.36_FILE0023.MP4
egmont,friday,04-02-2022 09:44,4,2,2022,9,44,FILE0024,EGMONT_04-02-2022/FILE0024.MP4,egmont_04-02-2022_09.44_FILE0024.MP4
egmont,friday,04-02-2022 09:52,4,2,2022,9,52,FILE0025,EGMONT_04-02-2022/FILE0025.MP4,egmont_04-02-2022_09.52_FILE0025.MP4
egmont,friday,04-02-2022 10:00,4,2,2022,10,0,FILE0026,EGMONT_04-02-2022/FILE0026.MP4,egmont_04-02-2022_10.00_FILE0026.MP4
egmont,friday,04-02-2022 10:08,4,2,2022,10,8,FILE0027,EGMONT_04-02-2022/FILE0027.MP4,egmont_04-02-2022_10.08_FILE0027.MP4
egmont,friday,04-02-2022 10:16,4,2,2022,10,16,FILE0028,EGMONT_04-02-2022/FILE0028.MP4,egmont_04-02-2022_10.16_FILE0028.MP4
egmont,friday,04-02-2022 10:24,4,2,2022,10,24,FILE0029,EGMONT_04-02-2022/FILE0029.MP4,egmont_04-02-2022_10.24_FILE0029.MP4
egmont,friday,04-02-2022 10:32,4,2,2022,10,32,FILE0030,EGMONT_04-02-2022/FILE0030.MP4,egmont_04-02-2022_10.32_FILE0030.MP4
egmont,friday,04-02-2022 10:40,4,2,2022,10,40,FILE0031,EGMONT_04-02-2022/FILE0031.MP4,egmont_04-02-2022_10.40_FILE0031.MP4
egmont,friday,04-02-2022 10:48,4,2,2022,10,48,FILE0032,EGMONT_04-02-2022/FILE0032.MP4,egmont_04-02-2022_10.48_FILE0032.MP4
egmont,friday,04-02-2022 10:56,4,2,2022,10,56,FILE0033,EGMONT_04-02-2022/FILE0033.MP4,egmont_04-02-2022_10.56_FILE0033.MP4
egmont,friday,04-02-2022 11:04,4,2,2022,11,4,FILE0034,EGMONT_04-02-2022/FILE0034.MP4,egmont_04-02-2022_11.04_FILE0034.MP4
egmont,friday,04-02-2022 11:12,4,2,2022,11,12,FILE0035,EGMONT_04-02-2022/FILE0035.MP4,egmont_04-02-2022_11.12_FILE0035.MP4
egmont,friday,04-02-2022 11:20,4,2,2022,11,20,FILE0036,EGMONT_04-02-2022/FILE0036.MP4,egmont_04-02-2022_11.20_FILE0036.MP4
